Departamento,2008,2009,2010,2007,2011,2012,2013,2014,2015,2016,2017
Amazonas,1247,860,640,811,3309,4037,4806,3178,2395,3340,5696
Ancash,5381,5744,6626,4503,6325,7097,7618,8783,9862,10446,11798
Apurimac,1191,1267,1389,1125,1855,2412,2993,2533,1601,2000,2566
Arequipa,10469,11110,10935,9188,12762,13556,14167,16576,18017,19666,25500
Ayacucho,2221,2124,1856,2185,3299,3625,3989,4786,4395,3131,4574
Cajamarca,3137,2665,3851,2292,3775,5223,6820,6100,5847,6440,9453
Callao,8219,8935,10010,8129,12749,13233,14631,15765,19328,15385,14948
Cusco,4767,5742,6445,4065,7145,8542,9830,14328,9271,11783,13728
Huancavelica,110,273,600,22,879,962,1045,1917,1223,1345,1483
Huanuco,1048,1602,1514,988,1931,2601,3157,3275,3126,3162,3895
Ica,3239,3895,4716,2548,6308,7835,9288,10107,10869,13178,13772
Junin,3614,2777,4672,1710,7123,8337,9433,8791,7632,9375,11627
Lalibertad,7440,8061,11570,9763,9221,13413,13504,18712,15628,16782,21894
Lambayeque,10525,14292,11746,8474,10300,11356,12260,13740,15757,21406,25186
Lima,67768,70634,79443,67832,126494,135777,147119,151256,180409,170295,177517
Loreto,3878,4332,5053,3485,2711,2825,3240,3054,2670,5730,4843
MadredeDios,648,297,496,1387,814,1549,2256,2118,1427,1641,2401
Moquegua,1249,1602,1739,1439,2231,1568,1791,1804,1713,1872,2244
Pasco,206,244,259,331,999,1183,1314,1987,1054,937,1772
Piura,4759,4871,6475,5518,7328,11511,12178,16200,16099,16866,20156
Puno,1543,1499,1556,1607,1756,2099,2445,4114,3314,4741,4206
SanMartin,2803,1642,2421,1338,4630,4730,4665,5597,5545,3729,5177
Tacna,1946,2513,2520,1080,1921,3391,3850,3892,2975,3229,4013
Tumbes,1535,1595,2267,0,2338,2935,3437,3883,3163,3275,4404
Ucayali,2617,2272,3067,2856,2235,2016,3638,4082,6003,6122,7016
